path,relative_path,filename,label,extension,size_bytes,width,height,channels,pil_readable,cv2_readable,brightness,contrast
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00000.jpg,real\train_00000.jpg,train_00000.jpg,real,.jpg,27593,256,256,3,True,True,113.34369659423828,48.578365325927734
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00003.jpg,real\train_00003.jpg,train_00003.jpg,real,.jpg,27022,256,256,3,True,True,120.2207260131836,74.05686950683594
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00009.jpg,real\train_00009.jpg,train_00009.jpg,real,.jpg,24386,256,256,3,True,True,159.30801391601562,63.85134506225586
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00030.jpg,real\train_00030.jpg,train_00030.jpg,real,.jpg,26245,256,256,3,True,True,65.50985717773438,61.90848159790039
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00035.jpg,real\train_00035.jpg,train_00035.jpg,real,.jpg,22393,256,256,3,True,True,192.7765655517578,61.399227142333984
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00057.jpg,real\train_00057.jpg,train_00057.jpg,real,.jpg,32093,256,256,3,True,True,104.93623352050781,63.6294059753418
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00076.jpg,real\train_00076.jpg,train_00076.jpg,real,.jpg,26554,256,256,3,True,True,135.91868591308594,52.3760986328125
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00135.jpg,real\train_00135.jpg,train_00135.jpg,real,.jpg,35095,256,256,3,True,True,100.02046203613281,61.00084686279297
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00161.jpg,real\train_00161.jpg,train_00161.jpg,real,.jpg,22914,256,256,3,True,True,56.63312530517578,54.4867057800293
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00176.jpg,real\train_00176.jpg,train_00176.jpg,real,.jpg,31658,256,256,3,True,True,149.36080932617188,71.07689666748047
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00235.jpg,real\train_00235.jpg,train_00235.jpg,real,.jpg,20579,256,256,3,True,True,53.760108947753906,57.58735275268555
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00241.jpg,real\train_00241.jpg,train_00241.jpg,real,.jpg,28618,256,256,3,True,True,61.129459381103516,47.58742904663086
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00249.jpg,real\train_00249.jpg,train_00249.jpg,real,.jpg,31184,256,256,3,True,True,120.04412078857422,62.110286712646484
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00271.jpg,real\train_00271.jpg,train_00271.jpg,real,.jpg,26149,256,256,3,True,True,140.64266967773438,51.8109245300293
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00292.jpg,real\train_00292.jpg,train_00292.jpg,real,.jpg,26523,256,256,3,True,True,146.48605346679688,71.4803237915039
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00334.jpg,real\train_00334.jpg,train_00334.jpg,real,.jpg,29475,256,256,3,True,True,104.53218078613281,51.19392776489258
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00366.jpg,real\train_00366.jpg,train_00366.jpg,real,.jpg,32297,256,256,3,True,True,88.6878890991211,59.35590744018555
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00367.jpg,real\train_00367.jpg,train_00367.jpg,real,.jpg,26092,256,256,3,True,True,93.29225158691406,64.36835479736328
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00387.jpg,real\train_00387.jpg,train_00387.jpg,real,.jpg,31932,256,256,3,True,True,72.79830932617188,51.00828170776367
C:\Users\ADVAITH G\Desktop\GAN AND VAE\DeepFakeLab\data\rvf10k\real\train_00398.jpg,real\train_00398.jpg,train_00398.jpg,real,.jpg,29871,256,256,3,True,True,103.4910888671875,60.62141799926758
